run,seed,iteration,algorithm,best_fitness
1,42,1,FOA,1659.0931160056396
1,42,1,PSO,1631.417611387142
1,42,1,Random Search,1130.936216776061
1,42,1,Greedy,650.7777941362356
1,42,2,FOA,1659.0931160056396
1,42,2,PSO,1631.417611387142
1,42,2,Random Search,1130.936216776061
1,42,2,Greedy,650.7777941362356
1,42,3,FOA,1675.699192696074
1,42,3,PSO,1855.6138979620769
1,42,3,Random Search,1142.4348030772376
1,42,3,Greedy,650.7777941362356
1,42,4,FOA,1903.3616226867948
1,42,4,PSO,1855.6138979620769
1,42,4,Random Search,1142.4348030772376
1,42,4,Greedy,650.7777941362356
1,42,5,FOA,1995.4774378064233
1,42,5,PSO,1855.6138979620769
1,42,5,Random Search,1180.425084418965
1,42,5,Greedy,650.7777941362356
1,42,6,FOA,1995.4774378064233
1,42,6,PSO,1855.6138979620769
1,42,6,Random Search,1180.425084418965
1,42,6,Greedy,650.7777941362356
1,42,7,FOA,1995.4774378064233
1,42,7,PSO,1855.6138979620769
1,42,7,Random Search,1180.425084418965
1,42,7,Greedy,650.7777941362356
1,42,8,FOA,1995.4774378064233
1,42,8,PSO,1855.6138979620769
1,42,8,Random Search,1180.425084418965
1,42,8,Greedy,650.7777941362356
1,42,9,FOA,1995.4774378064233
1,42,9,PSO,1855.6138979620769
1,42,9,Random Search,1180.425084418965
1,42,9,Greedy,650.7777941362356
1,42,10,FOA,1995.4774378064233
1,42,10,PSO,1855.6138979620769
1,42,10,Random Search,1211.6624000440074
1,42,10,Greedy,650.7777941362356
1,42,11,FOA,1995.4774378064233
1,42,11,PSO,1855.6138979620769
1,42,11,Random Search,1211.6624000440074
1,42,11,Greedy,650.7777941362356
1,42,12,FOA,1995.4774378064233
1,42,12,PSO,1855.6138979620769
1,42,12,Random Search,1211.6624000440074
1,42,12,Greedy,650.7777941362356
1,42,13,FOA,1995.4774378064233
1,42,13,PSO,1855.6138979620769
1,42,13,Random Search,1211.6624000440074
1,42,13,Greedy,650.7777941362356
1,42,14,FOA,1995.4774378064233
1,42,14,PSO,1855.6138979620769
1,42,14,Random Search,1211.6624000440074
1,42,14,Greedy,650.7777941362356
1,42,15,FOA,1995.4774378064233
1,42,15,PSO,1855.6138979620769
1,42,15,Random Search,1211.6624000440074
1,42,15,Greedy,650.7777941362356
1,42,16,FOA,1995.4774378064233
1,42,16,PSO,1985.2367594723873
1,42,16,Random Search,1635.2881047789997
1,42,16,Greedy,650.7777941362356
1,42,17,FOA,1995.4774378064233
1,42,17,PSO,1985.2367594723873
1,42,17,Random Search,1635.2881047789997
1,42,17,Greedy,650.7777941362356
1,42,18,FOA,1995.4774378064233
1,42,18,PSO,1985.2367594723873
1,42,18,Random Search,1635.2881047789997
1,42,18,Greedy,650.7777941362356
1,42,19,FOA,1995.4774378064233
1,42,19,PSO,2021.1894886625564
1,42,19,Random Search,1635.2881047789997
1,42,19,Greedy,650.7777941362356
1,42,20,FOA,1995.4774378064233
1,42,20,PSO,2021.1894886625564
1,42,20,Random Search,1635.2881047789997
1,42,20,Greedy,650.7777941362356
1,42,21,FOA,1995.4774378064233
1,42,21,PSO,2021.1894886625564
1,42,21,Random Search,1635.2881047789997
